[2015-06-20 17:32:23] mkaufman_, joining. (#selenium)
[2015-06-20 17:36:24] terratoma, joining. (#selenium)
[2015-06-20 17:37:48] Padawan, quitting. (Disconnected by services)
[2015-06-20 17:37:57] Padawan_, joining. (#selenium)
[2015-06-20 17:38:26] arcanine_, joining. (#selenium)
[2015-06-20 17:40:47] other_qiau, joining. (#selenium)
[2015-06-20 17:41:00] ato_, joining. (#selenium)
[2015-06-20 17:43:25] mkaufman, quitting. (Ping timeout: 246 seconds)
[2015-06-20 17:43:26] aguynamedben, quitting. (Ping timeout: 246 seconds)
[2015-06-20 17:43:26] tourdedave, quitting. (Ping timeout: 246 seconds)
[2015-06-20 17:43:26] noahsussman, quitting. (*.net *.split)
[2015-06-20 17:43:27] ColinSauce, quitting. (*.net *.split)
[2015-06-20 17:43:27] akafred, quitting. (*.net *.split)
[2015-06-20 17:43:27] arcanine, quitting. (*.net *.split)
[2015-06-20 17:43:27] ato, quitting. (*.net *.split)
[2015-06-20 17:43:27] paolo, quitting. (*.net *.split)
[2015-06-20 17:43:27] terratom1, quitting. (*.net *.split)
[2015-06-20 17:43:28] other_qi1u, quitting. (*.net *.split)
[2015-06-20 17:43:42] ato_, changing nick to ato.
[2015-06-20 17:43:45] mkaufman_, changing nick to mkaufman.
[2015-06-20 17:45:28] akafred, joining. (#selenium)
[2015-06-20 17:47:04] sorinb__, joining. (#selenium)
[2015-06-20 17:48:42] ColinSauce, joining. (#selenium)
[2015-06-20 17:48:50] tourdedave, joining. (#selenium)
[2015-06-20 17:48:50] noahsussman, joining. (#selenium)
[2015-06-20 17:48:50] paolo, joining. (#selenium)
[2015-06-20 17:48:55] noahsussman, quitting. (Changing host)
[2015-06-20 17:48:56] noahsussman, joining. (#selenium)
[2015-06-20 17:48:59] tourdedave, quitting. (Changing host)
[2015-06-20 17:48:59] tourdedave, joining. (#selenium)
[2015-06-20 17:49:37] paolo, quitting. (Changing host)
[2015-06-20 17:49:37] paolo, joining. (#selenium)
[2015-06-20 17:49:39] pericles, quitting. (Remote host closed the connection)
[2015-06-20 17:50:53] aguynamedben, joining. (#selenium)
[2015-06-20 17:52:21] WhereIsMySpoon, joining. (#selenium)
[2015-06-20 17:52:44] arcanine_, changing nick to arcanine.
[2015-06-20 17:55:17] noahsussman, quitting. (Read error: Connection timed out)
[2015-06-20 17:56:39] AlHafoudh_, joining. (#selenium)
[2015-06-20 17:59:37] noahsussman, joining. (#selenium)
[2015-06-20 18:01:58] AlHafoudh, quitting. (Ping timeout: 261 seconds)
[2015-06-20 18:01:58] AlHafoudh_, changing nick to AlHafoudh.
[2015-06-20 18:02:09] sorinb_, quitting. (Ping timeout: 943 seconds)
[2015-06-20 18:02:10] WhereIsMySpoon_, quitting. (Ping timeout: 943 seconds)
[2015-06-20 18:36:27] fabrice31, joining. (#selenium)
[2015-06-20 18:40:54] fabrice31, quitting. (Ping timeout: 252 seconds)
[2015-06-20 18:48:35] tjt263, joining. (#selenium)
[2015-06-20 18:53:33] tjt263, quitting. (Ping timeout: 252 seconds)
